word,etymology
स्वर्,['शास्त्रेषु स्वर्यत इति स्वः । शास्त्रगम्यः ।  पुण्यलोकः']
स्वर्ग,['सुखं गम्यते इति स्वर्गः । सुखलोकः ।']
स्वर्ग,['सुष्ठु अर्ज्यते इति स्वर्गः ।']
स्वर्ग,['सुष्ठु ऋज्यते स्थीयते अस्मिन्निति स्वर्गः । सुख स्थानम् ।']
स्वर्ग,['स्वः इति गीयते इति स्वर्गः ।']
