word,synonyms,Kannada,English,Hindi
स्वर्,पटुपर्णी हैमवती स्वर्णक्षीरी हिमावती,ಘಂಟಾಮಣಿ ಸೊಪ್ಪು,A medicinal earth,मकोय
स्वर्ग,स्वर्ग स्वर् नाक त्रिदिव त्रिदशालय सुरलोक द्यो दिव् त्रिविष्टप मन्दर,ಸ್ವರ್ಗಲೋಕ,Paradise ,स्वर्गलोक 
